MARZO 2021;;;;;;;;
LABORATORIO TITULAR;N° CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;INDICACIONES / ACCION TERAPEUTICA;OBSERVACIONES
LABORATORIOS BERNABO S.A.;59316;ROSUBER PLUS;ROSUVASTATINA - EZETIMIBE;10 MG - 10 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS;TRATAMIENTO DE LA HIPERCOLESTEROLEMIA PRIMARIA Y PREVENCION DE EVENTOS CARDIOVASCULARES;VER PROSPECTO EN VNM
LABORATORIOS BERNABO S.A.;59316;ROSUBER PLUS;ROSUVASTATINA - EZETIMIBE;20 MG - 10 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS;TRATAMIENTO DE LA HIPERCOLESTEROLEMIA PRIMARIA Y PREVENCION DE EVENTOS CARDIOVASCULARES;VER PROSPECTO EN VNM
SIDUS S.A.;43757;CYCLO 3;EXTRACTO SECO DE RUSCUS ACULEATUS -HESPERIDINA METILCACONA - AC ASCORBICO;150 MG - 150 MG - 100 MG;CAPSULAS;56 CAPSULAS;VASCULOPROTECTOR Y VENOTONICO;VER PROSPECTO EN VNM
SIDUS S.A.;43757;CYCLO 3;EXTRACTO SECO DE RUSCUS ACULEATUS -EXT.FLUIDO DE MELILOTO;1,60 G% - 2 G%;CREMA;TUBO X 100 G;VASCULOPROTECTOR Y VENOTONICO;VER PROSPECTO EN VNM
AMGEN BIOTECNOLOGÍA DE ARGENTINA S.R.L.;59340;EVENITY ;ROMOSOZUMAB;90 MG/ML ;SOLUCIÓN PARA INYECCIÓN;2 JERINGAS PRELLENADAS por 1,17 ML;INDICADO PARA EL TRATAMIENTO DE OSTEOPOROSIS GRAVE EN MUJERES POSMENOPÁUSICAS CON ELEVADO RIESGO DE FRACTURAS;SINTESIS TECNICA PARA PROFESIONALES
MEGALABS ARGENTINA S.A.U.;41175;AMINOTERAPIA;L-CISTINA;750 MG;COMPRIMIDO EFERVESCENTE;30 COMPRIMIDOS EFERVESCENTES;APORTE DE AMINOÁCIDOS INDISPENSABLES PARA LA SÍNTESIS DE LA QUERATINA. ESTIMULA EL CRECIMIENTO DEL CABELLO Y DE LAS UÑAS;VER PROSPECTO EN VNM
NOVARTIS ARGENTINA S.A.;59372;ZOLGENSMA;ONASEMNOGEN ABEPARVOVEC;2.0 x 1013 VG/ML;SUSPENSION PARA INFUSION INTRAVENOSA;;ES UNA TERAPIA GÉNICA BASADA EN VECTORES DE VIRUS ADENO-ASOCIADOS INDICADA PARA EL TRATAMIENTO DE PACIENTES PEDIÁTRICOS MENORES DE 2 AÑOS CON ATROFIA MUSCULAR ESPINAL (AME), CON MUTACIONES BIALÉLICAS EN EL GEN DE LA MOTONEURONA DE LA SUPERVIVENCIA 1 (SMN1);SINTESIS TECNICA PARA PROFESIONALES
MUNDIPHARMA PHARMACEUTICALS ARGENTINA S.R.L.;58956 ;AKINZEO ;NETUPITANT/  CLORHIDRATO DE PALONOSETRON;300 MG - 0,5 MG;CAPSULA DURA;1 CAPSULA DURA;PREVENCIÓN DE LAS NÁUSEAS Y LOS VÓMITOS AGUDOS Y TARDÍOS ASOCIADOS A LA QUIMIOTERAPIA ONCOLÓGICA ALTAMENTE EMETÓGENA BASADA EN CISPLATINO. PREVENCIÓN DE LAS NÁUSEAS Y LOS VÓMITOS AGUDOS Y TARDÍOS ASOCIADOS A LA QUIMIOTERAPIA ONCOLÓGICA MODERADAMENTE EMETÓGENA.;SINTESIS TECNICA PARA PROFESIONALES
GADOR S.A.;59171;OMNIPIL 100/20/2,5;ACIDO ACETILSALICILICO - ATORVASTATINA -RAMIPRIL;100 MG - 20 MG - 2,5 MG;CAPSULAS CON MINICOMPRIMIDOS;30 CAPSULAS CON MINICROMPRIMIDOS;ESTA INDICADO EN LA PREVENCION SECUNDARIA DE ACCIDENTES CARDIOVASCULARES;SINTESIS TECNICA PARA PROFESIONALES
GADOR S.A.;59171;OMNIPIL 100/20/5;ACIDO ACETILSALICILICO - ATORVASTATINA -RAMIPRIL;100 MG - 20 MG - 5 MG;CAPSULAS CON MINICOMPRIMIDOS;30 CAPSULAS CON MINICROMPRIMIDOS;ESTA INDICADO EN LA PREVENCION SECUNDARIA DE ACCIDENTES CARDIOVASCULARES;SINTESIS TECNICA PARA PROFESIONALES
GADOR S.A.;59171;OMNIPIL 100/20/10;ACIDO ACETILSALICILICO - ATORVASTATINA -RAMIPRIL;100 MG - 20 MG - 10 MG;CAPSULAS CON MINICOMPRIMIDOS;30 CAPSULAS CON MINICROMPRIMIDOS;ESTA INDICADO EN LA PREVENCION SECUNDARIA DE ACCIDENTES CARDIOVASCULARES;SINTESIS TECNICA PARA PROFESIONALES
GOBBI NOVAG S.A.;59143;VIMIZIN;ELOSULFASE ALFA 1;1 MG / ML;SOLUCION INYECTABLE;ENVASE X 1 VIAL;TRATAMIENTO EN ADULTOS Y NIÑOS CON MUCOPOLISACARIDOS TIPO IVA (ENFERMEDAD DE MPS IVA, TAMBIEN CONOCIDA COMO SINDROME DE ORQUIO A);SINTESIS TECNICA PARA PROFESIONALES
LABORATORIOS BAGO S. A.;51203;ROSUVAST;ROSUVASTATINA CALCICA;5 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA HMG-CoA REDUCTASA;VER PROSPECTO EN VNM
LABORATORIOS BAGO S. A.;51203;ROSUVAST;ROSUVASTATINA CALCICA;10 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA HMG-CoA REDUCTASA;VER PROSPECTO EN VNM
LABORATORIOS BAGO S. A.;51203;ROSUVAST;ROSUVASTATINA CALCICA;20 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA HMG-CoA REDUCTASA;VER PROSPECTO EN VNM
LABORATORIOS BAGO S. A.;51203;ROSUVAST;ROSUVASTATINA CALCICA;40 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA HMG-CoA REDUCTASA;VER PROSPECTO EN VNM
LABORATORIOS ASPEN S.A.;58771;FLIMOR;FINGOLIMOD;0,5 MG;CAPSULA DURA;28 CAPSULAS;INMUNOMODULADOR;VER PROSPECTO EN VNM
PFIZER S.R.L.;56760;IBUMAX 400;IBUPROFENO;400 MG;COMPRIMIDOS;50 COMPRIMIDOS;ANALGESICO ANTIINFLAMATORIO ANTITERMICO;VER PROSPECTO EN VNM
