AGOSTO 2020;;;;;;;;
LABORATORIO;CERT.;NOMBRE COMERCIAL;NOMBRE GENERICO;CC;FORMA FARMACEUTICA;UNIDADES;INDICACIONES/ ACCION TERAPEUTICA;OBSERVACIONES
TUTEUR S A C I F I A;58856;ELOPAG®;ELTROMBOPAG;25 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;ANTIHEMORRÁGICOS, OTROS HEMOSTÁTICOS SISTÉMICOS.;VER PROSPECTO EN VNM ANMAT
ALLERGAN PRODUCTOS FARMACEUTICOS S.A.;58952;REFRESH FUSION;GLICEROL – CARBOXIMETILCELULOSA SODICA;0.9% - 0.5%;SOLUCION OFTALMICA;1 FRASCO GOTERO;LUBRICANTE OCULAR;VER PROSPECTO EN VNM ANMAT
ROEMMERS S.A.I.C.F.;55835;ROGASTRIL PLUS;CINITAPRIDA (COMO CINITAPRIDA TARTRATO ACIDO)  + SIMETICONA;10 MG / 100 ML +  2000 MG / 100 ML;SUSPENSION;1 FRASCO X 90 ML;ANTIDISPÉPTICO GASTROQUINÉTICO ANTIEMÉTICO ANTIFLATULENTO;VER PROSPECTO EN VNM ANMAT
FINADIET S.A.COM FIN E INMOB;58832;TANSILOPROST SEC;TAMSULOSINA CLORHIDRATO + SOLIFENACINA SUCCINATO;0,4 MG + 6 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;SE USA EN VARONES PARA TRATAR LOS SÍNTOMAS DE ALMACENAMIENTO MODERADOS A GRAVES Y LOS SÍNTOMAS DE INCONTINENCIA DE LAS VÍAS URINARIAS INFERIORES CAUSADOS POR PROBLEMAS EN LA VEJIGA Y EL AGRANDAMIENTO DE LA PRÓSTATA (HIPERPLASIA PROSTÁTICA BENIGNA).;VER PROSPECTO EN VNM ANMAT
LUNDBECK ARGENTINA SA;50483;LEXAPRO;ESCITALOPRAM OXALATO;20 MG/ML;SOLUCION ORAL;FRASCO GOTERO X 15 ML;ANTIDEPRESIVO;VER PROSPECTO EN VNM ANMAT
BIOSINTEX S.A.;53119;PIRIGRIP;CLORFENIRAMINA MALEATO, PARACETAMOL,PSEUDOEFEDRINA CLORHIDRATO;2 MG-500 MG-30 MG;COMPRIMIDOS RECUBIERTOS;8 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIFEBRIL DESCONGESTIVO NASAL;VER PROSPECTO EN VNM ANMAT
BIOSINTEX S.A.;53119;PIRIGRIP;CLORFENIRAMINA MALEATO, PARACETAMOL,PSEUDOEFEDRINA CLORHIDRATO;2 MG-500 MG-30 MG;COMPRIMIDOS RECUBIERTOS;16 COMPRIMIDOS RECUBIERTOS;ANALGESICO ANTIFEBRIL DESCONGESTIVO NASAL;VER PROSPECTO EN VNM ANMAT
LABORATORIOS RICHMOND SACIF;59177;TELCARDIA;TELMISARTAN;40 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS RICHMOND SACIF;59177;TELCARDIA;TELMISARTAN;80 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
CRAVERI S.A.I.C.;47687;TRAMUSTIN;TRAMADOL CLORHIDRATO;50 MG;COMPRIMIDOS;10 COMPRIMIDOS;ANALGESICO DE ACCION CENTRAL;VER PROSPECTO EN VNM ANMAT
CRAVERI S.A.I.C.;47687;TRAMUSTIN;TRAMADOL CLORHIDRATO;50 MG;COMPRIMIDOS;20 COMPRIMIDOS;ANALGESICO DE ACCION CENTRAL;VER PROSPECTO EN VNM ANMAT
CRAVERI S.A.I.C.;47687;TRAMUSTIN;TRAMADOL CLORHIDRATO;50 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANALGESICO DE ACCION CENTRAL;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59166;CVP FLEBO;DIOSMINA -HESPERIDINA;450 MG - 50 MG;COMPRIMIDOS MASTICABLES;30 COMPRIMIDOS MASTICABLES;FLEBOTÓNICO CON ACCIÓN ANTIINFLAMATORIA QUE AYUDA A PROTEGER EL SISTEMA VENOSO Y CAPILAR;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;58999;TERFUN ;TRIFLURIDINA + TIPIRACILO;15 MG - 6,14 MG;COMPRIMIDOS RECUBIERTOS;20 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO, ANTIMETABOLITO;VER PROSPECTO EN VNM ANMAT
GADOR S.A.;59130;PALIAX D 80-12,5;VALSARTAN - HIDROCLOROTIAZIDA;80 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
GADOR S.A.;59130;PALIAX D 160-12,5;VALSARTAN - HIDROCLOROTIAZIDA;160 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
MONTE VERDE S.A.;59095;TUZEPTA;TRASTUZUMAB;440 MG;POLVO LIOFILIZADO INYECTABLE;1 FRASCO AMPOLLA;AGENTE ANTINEOPLASICO, ANTICUERPO MONOCLONAL;VER PROSPECTO EN VNM ANMAT
LAFEDAR S.A;47761;AZITROMICINA LAFEDAR;AZITROMICINA;500 MG;COMPRIMIDOS RECUBIERTOS;1000 COMPRIMIDOS RECUBIERTOS;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
ROEMMERS S.A.I.C.F.;37865;TAURAL F;FAMOTIDINA;20 MG;COMPRIMIDOS;10 COMPRIMIDOS;ANTIULCEROSO. ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2. INHIBIDOR DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VNM ANMAT
ROEMMERS S.A.I.C.F.;37865;TAURAL F;FAMOTIDINA;20 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIULCEROSO. ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2. INHIBIDOR DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VNM ANMAT
ROEMMERS S.A.I.C.F.;37865;TAURAL F;FAMOTIDINA;20 MG;COMPRIMIDOS;60 COMPRIMIDOS;ANTIULCEROSO. ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2. INHIBIDOR DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VNM ANMAT
ROEMMERS S.A.I.C.F.;37865;TAURAL F;FAMOTIDINA;20 MG / 5 ML;SUSPENSIÓN EXTEMPORANEA;ENVASE PARA PREPARAR 90 ML;ANTIULCEROSO. ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2. INHIBIDOR DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VNM ANMAT
ROEMMERS S.A.I.C.F.;37865;TAURAL F;FAMOTIDINA;40 MG;COMPRIMIDOS;30 COMPRIMIDOS;ANTIULCEROSO. ANTAGONISTA DE LOS RECEPTORES DE HISTAMINA H2. INHIBIDOR DE LA SECRECIÓN GÁSTRICA;VER PROSPECTO EN VNM ANMAT
LABORATORIOS DUNCAN SA;37608;RUPEZOL;METRONIDAZOL;125 MG / 5 ML;SUSPENSION;50 FCOS X 120 ML;ANTIPARASITARIO ANTIBACTERIANO;VER PROSPECTO EN VNM ANMAT
LAFEDAR S.A;44299;TRIBUTINA;TRIBUTINA MALEATO;200 MG;COMPRIMIDOS;20 COMPRIMIDOS;MODIFICADOR DE LA MOTILIDAD GASTROINTESTINAL;VER PROSPECTO EN VNM ANMAT
LAFEDAR S.A;44299;TRIBUTINA;TRIBUTINA MALEATO;200 MG;COMPRIMIDOS;1000 COMPRIMIDOS;MODIFICADOR DE LA MOTILIDAD GASTROINTESTINAL;VER PROSPECTO EN VNM ANMAT
IVAX ARGENTINA SOCIEDAD ANONIMA;59092;OLANZAPINA TEVA;OLANZAPINA;10 MG;COMPRIMIDOS DISPERSABLES;30 COMPRIMIDOS DISPERSABLES;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGÓ S.A.;59187;PULMERAN L;IVACAFTOR - LUMACAFTOR;125 MG - 200 MG;COMPRIMIDOS RECUBIERTOS;120 COMPRIMIDOS RECUBIERTOS;TRATAMIENTO A LARGO PLAZO DE LA FIBROSIS QUÍSTICA (FQ) EN PACIENTES DE 12 AÑOS DE EDAD Y MAYORES QUE TIENEN UN CAMBIO ESPECÍFICO (LLAMADO MUTACIÓN F508DEL) QUE AFECTA AL GEN QUE CODIFICA UNA PROTEÍNA LLAMADA REGULADOR DE LA CONDUCTANCIA TRANSMEMBRANA DE L;VER PROSPECTO EN VNM ANMAT
  PHARMADORF S.A.;52773;AVANCEL;ACETATO DE CIPROTERONA + ETINELESTRADIOL;2 MG + 0,035 MG;COMPRIMIDOS RECUBIERTOS;21 COMPRIMIDOS RECUBIERTOS;TRATAMIENTO DE ENFERMEDADES ANDROGENODEPENDIENTES EN MUJERES;VER PROSPECTO EN VNM ANMAT
PHARMADORF S.A.;52926;LUMILAC;DESOGESTREL;0,075 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;ANTICONCEPCION HORMONAL;VER PROSPECTO EN VNM ANMAT
SOUBEIRAN CHOBET SRL;38723 ;NEOCALMANS;MORFINA SULFATO;0,2 MG/ML;SOLUCION INYECTABLE;1 AMPOLLA X 1 ML;ANALGESICO OPIOIDE;VER PROSPECTO EN VNM ANMAT
JANSSEN CILAG FARMACEUTICA S.A.;59173;SPRAVATO;ESKETAMINA;28 MG;SPRAY NASAL;2 DISPOSITIVOS SPRAY NASAL;ANTIDEPRESIVO;SINTESIS TECNICA PARA PROFESIONALES
JANSSEN CILAG FARMACEUTICA S.A.;59173;SPRAVATO;ESKETAMINA;28 MG;SPRAY NASAL;3 DISPOSITIVOS SPRAY NASAL;ANTIDEPRESIVO;SINTESIS TECNICA PARA PROFESIONALES
LABORATORIO ELEA PHOENIX S.A.;2924;HEPATALGINA GOTAS;ALCOHOLATURO DE ALCACHOFA-ALCOHOLATURO DE DAUCUS- CAROTA, T.BOLDO-MENTOL;46,23 ML - 43,64 ML - 10,13- 0,152 G;GOTAS;45 ML;TRASTORNOS DEL HIGADO Y DE LA VESICULA BILIAR CON MANIFESTACIONES DE PESADEZ ESTOMACAL;VER PROSPECTO EN VNM ANMAT
LABORATORIO ELEA PHOENIX S.A.;2924;HEPATALGINA GOTAS;ALCOHOLATURO DE ALCACHOFA-ALCOHOLATURO DE DAUCUS- CAROTA, T.BOLDO-MENTOL;46,23 ML - 43,64 ML - 10,13- 0,152 G;GOTAS;120 ML;TRASTORNOS DEL HIGADO Y DE LA VESICULA BILIAR CON MANIFESTACIONES DE PESADEZ ESTOMACAL;VER PROSPECTO EN VNM ANMAT
EUROFARMA ARGENTINA S.A.;53803;COLOXIMINA;RIFAXIMINA;550 MG;COMPRIMIDOS RECUBIERTOS;10 COMPRIMIDOS RECUBIERTOS;ANTIBIOTICO BACTERICIDA;VER PROSPECTO EN VNM ANMAT
EUROFARMA ARGENTINA S.A.;53803;COLOXIMINA;RIFAXIMINA;550 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIBIOTICO BACTERICIDA;VER PROSPECTO EN VNM ANMAT
