DICIEMBRE 2021;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CC;FORMA FARMACEUTICA;PRESENTACION;INDICACIONES/ ACCION TERAPEUTICA;OBSERVACIONES
GENOMMA LABORATORIES ARGENTINA S.A.;57875;TUKOL FAMILIAR;EXTRACTO DE HOJAS DE HIEDRA DESECADAS;0,3 G;JARABE;FCO X 250 ML;EXPECTORANTE MUCOLITICO;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;48399;BETASONE G;BETAMETASONA 17- VALERATO;0,1 G;CREMA;1 FRASCO POR 15 G (REMEDIAR);CORTICOSTEROIDE DE ACCION TOPICA;VER PROSPECTO EN VNM ANMAT
LABORATORIO KEMEX S.A.;56889;ˇEPIRUBICINA KEMEX;EPIRUBICINA CLORHIDRATO;50 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FCO AMPOLLA X 50 MG;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
INSTITUTO BIOLOGICO CONTEMPORANEO S.A.;52771;TRAMADOL PHARMAVIAL;TRAMADOL CLORHIDRATO;100 MG / 2 ML;SOLUCION INYECTABLE;100 AMPOLLAS POR 2 ML UH;ANALGESICO DE ACCION CENTRAL;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA S.A.;54071;EPIDUO;ADAPALENO + PEROXIDO DE BENZOILO;0.1% + 2.5%;GEL;1 FRASCO X 30 G;TRATAMIENTO TOPICO DEL ACNE VULGARIS;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;52268;ACTUAL;FAMOTIDINA ? CARBONATO DE SODIO ? HIDROXIDO DE MAGNESIO;10 MG ? 800 MG ? 165 MG;COMPRIMIDOS MASTICABLES;10 COMPRIMIDOS;ANTIACIDO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S A;52268;ACTUAL;FAMOTIDINA ? CARBONATO DE SODIO ? HIDROXIDO DE MAGNESIO;10 MG ? 800 MG ? 165 MG;COMPRIMIDOS MASTICABLES;30 COMPRIMIDOS;ANTIACIDO;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA S.A.;43487;BENZIHEX AC;PEROXIDO DE BENZOILO;0,05 G;GEL;1 POMO X 60 G;TRATAMIENTO TOPICO DEL ACNE VULGARIS;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA S.A.;43487;BENZIHEX AC;PEROXIDO DE BENZOILO;0,1 G;GEL;1 POMO X 60 G;TRATAMIENTO TOPICO DEL ACNE VULGARIS;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA S.A.;44863;DIFFERIN 0,3%;ADAPALENO;0.3%;GEL;1 POMO X30 G;TRATAMIENTO TOPICO DEL ACNE VULGARIS;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA S.A.;43612;ROZEX;METRONIDAZOL;0.75%;CREMA;1 POMO X 45 G;TRATAMIENTO DE PAPULAS Y PUSTULAS INFLAMATORIAS DE LA ENFERMEDAD ROSACEA;VER PROSPECTO EN VNM ANMAT
GALDERMA ARGENTINA S.A.;45747;TETRALYSAL;LIMECICLINA;300 MG;CAPSULA;28 UNIDADES;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS RICHMOND SACIF;59458;INIBCO ;PAZOPANIB;200 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS RICHMOND SACIF;59458;INIBCO ;PAZOPANIB;400 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
TUTEUR S A C I F I A;59179;CYSTADROPS;CISTEAMINA;3,8MG;COLIRIO;FRASCO AMPOLLA por 5ml + GOTERO DOSIFICADOS;INDICADO PATA EL TRATAMIENTO DE LOS DEPOSITOS DE CRISTALES DE CISTINA EN LA CORNEA EN ADULTOS Y NI•OS MAYORES DE 2 A•OS CON CISTINOSIS;VER PROSPECTO EN VNM ANMAT
GENOMMA LABORATORIES ARGENTINA S.A.;58439;TAFIROL PLUS RAPIDA ACCION;PARACETAMOL + DICLOFENACO SODICO;300 MG + 25 MG;CAPSULA BLANDA;240 UNIDADES ;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VNM ANMAT
KLONAL SRL;58477;ESOMEPRAZOL KLONAL;ESOMEPRAZOL;40 MG;POLVO PARA INYECTABLE;25 FRASCO AMPOLLA POR 40 MG UH;INHIBIDOR DE LA BOMBA DE PROTONES;VER PROSPECTO EN VNM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;35704;VERICORDIN ;ATENOLOL;100 MG;COMPRIMIDO; 30 UNIDADES;BLOQUEANTE BETA-ADRENERGICO CARDIOSELECTIVO;VER PROSPECTO EN VNM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;35704;VERICORDIN ;ATENOLOL;100 MG;COMPRIMIDO; 60 UNIDADES;BLOQUEANTE BETA-ADRENERGICO CARDIOSELECTIVO;VER PROSPECTO EN VNM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;35704;VERICORDIN 50;ATENOLOL;50 MG;COMPRIMIDO; 30 UNIDADES;BLOQUEANTE BETA-ADRENERGICO CARDIOSELECTIVO;VER PROSPECTO EN VNM ANMAT
DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL;35704;VERICORDIN 50;ATENOLOL;50 MG;COMPRIMIDO; 60 UNIDADES;BLOQUEANTE BETA-ADRENERGICO CARDIOSELECTIVO;VER PROSPECTO EN VNM ANMAT
