ENERO 2021;;;;;;;;
LABORATORIO TITULAR;CERTIFICADO ;NOMBRE COMERCIAL;NOMBRE GENERICO;CC;FF;PRESENTACION;INDICACIONES/ ACCION TERAPEUTICA;OBSERVACIONES
SAVANT PHARM S.A.;54155;FLEXIPLEN 75 CB;DICLOFENAC SODICO;75 MG;CAPSULAS BLANDAS;10 CAPSULAS BLANDAS;ANALGESICO ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT
NOVARTIS ARGENTINA S.A;59093;PIQRAY 200;ALPELISIB;200 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
IVAX ARGENTINA S.A.;59164;AJOVY;FREMANEZUMAB;225 MG/ 1,5 ML;SOLUCION INYECTABLE;1 JERINGA PRELLENADA;TRATAMIENTO PREVENTIVO DE MIGRAÑAS;SINTESIS TECNICA PARA PROFESIONALES
IVAX ARGENTINA S.A.;59164;AJOVY;FREMANEZUMAB;1,5 ML;SOLUCION INYECTABLE;1 JERINGA PRELLENADA;TRATAMIENTO PREVENTIVO DE MIGRAÑAS;SINTESIS TECNICA PARA PROFESIONALES
INSTITUTO SEROTERÁPICO ARGENTINO S.A.I.C.;56322;PARACETAMOL ISA 1G;PARACETAMOL;1000 MG;COMPRIMIDOS;400 COMPRIMIDOS;ANALGESICO ANTITERMICO;VER PROSPECTO EN VADEMECUM ANMAT
TUTEUR S.A.C.I.F.I.A;58905;TOLKISTAN®;TOLVAPTAN;15 MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;DIURETICO ANTAGONISTA DE VASOPRESINA;SINTESIS TECNICA PARA PROFESIONALES
TUTEUR S.A.C.I.F.I.A;58905;TOLKISTAN®;TOLVAPTAN;30  MG;COMPRIMIDO RECUBIERTO;30 COMPRIMIDOS RECUBIERTOS;DIURETICO ANTAGONISTA DE VASOPRESINA;SINTESIS TECNICA PARA PROFESIONALES
CELNOVA ARGENTINA S.A.;59044;ESCITANOVA;ESCITALOPRAM (COMO ESCITALOPRAM OXALATO);20 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;ANTIDEPRESIVO INHIBIDOR SELECTIVO DE LA RECAPTACION DE SEROTONINA;VER PROSPECTO EN VADEMECUM ANMAT
CELNOVA ARGENTINA S.A.;59044;ESCITANOVA;ESCITALOPRAM (COMO ESCITALOPRAM OXALATO);20 MG;COMPRIMIDO RECUBIERTO;28 COMPRIMIDOS RECUBIERTOS;ANTIDEPRESIVO INHIBIDOR SELECTIVO DE LA RECAPTACION DE SEROTONINA;VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA S.A.;56863;PROSTOKLAR DUO;TAMSULOSINA CLORHIDRATO - DUTASTERIDE;0,4 mg - 0,5 mg;CAPSULAS LIBERACION PROLONGADA;30 CAPSULAS LIBERACION PROLONGADA;TRATAMIENTO DE LOS SÍNTOMAS MODERADOS A SEVEROS DE LA HIPERPLASIA PROSTÁTICA BENIGNA (HPB). REDUCCIÓN DEL RIESGO DE RETENCIÓN URINARIA AGUDA Y DE LA NECESIDAD DE CIRUGÍA PROSTÁTICA EN PACIENTES CON SÍNTOMAS MODERADOS A SEVEROS DE HPB.;VER PROSPECTO EN VADEMECUM ANMAT
ORIENTAL FARMACEUTICA ICISA;58614;LIDOMID;POMALIDOMIDA;4 MG;CAPSULA DURA;21 CAPSULAS;EN COMBINACION CON DEXAMETASONA ESTA INDICADA EN EL TRATAMIENTO DE MIELOMA MULTIPLE RECIDIVANTE Y REFRACTARIO EN PACIENTES ADULTOS QUE HAN RECIBIDO POR LO MENOS DOS TRATAMIENTOS PREVIOS, INCLUYENDO TRATAMIENTOS CON LENALIDOMIDA Y BORTEZOMIB Y CUYA ENFERMEDAD HA PROGRESADO CON EL ULTIMO TRATAMIENTO.;VER PROSPECTO EN VADEMECUM ANMAT
AMGEN BIOTECNOLOGIA DE ARGENTINA SRL;57371;KYPROLIS;CARFILZOMIB;30 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLA;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
NOVA ARGENTIA S.A.;58895;ENANTYUM FORTE;TRAMADOL CLORHIDRATO/DEXKETOPROFENO;75 MG - 25 MG;COMPRIMIDOS RECUBIERTOS;20 COMPRIMIDOS RECUBIERTOS;TRATAMIENTO SINTOMÁTICO A CORTO PLAZO DEL DOLOR AGUDO, DE MODERADO A INTENSO, EN PACIENTES ADULTOS CUYO DOLOR REQUIERA UNA COMBINACIÓN DE TRAMADOL Y DEXKETOPROFENO;VER PROSPECTO EN VADEMECUM ANMAT
TUTEUR S.A.C.I.F.I.A;59058;FANITRIX®;AFATINIB;30 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
TUTEUR S.A.C.I.F.I.A;59058;FANITRIX®;AFATINIB;40 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO ;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO LKM S.A.;58499;ILOPROST DOSA;ILOPROST;0.01 MG / ML;SOLUCION PARA NEBULIZACION;30 AMPOLLAS por 2 ML ;TRATAMIENTO DE PACIENTES ADULTOS CON HIPERTENSIÓN PULMONAR PRIMARIA, CLASE FUNCIONAL III DE LA NYHA, PARA MEJORAR LA CAPACIDAD PARA REALIZAR EJERCICIO FÍSICO Y LOS SÍNTOMAS;VER PROSPECTO EN VADEMECUM ANMAT
INSTITUTO BIOLOGICO CONTEMPORANEO S.A.;59055;LIDOCAINA 1% PHARMAVIAL;LIDOCAINA CLORHIDRATO ;200 MG;SOLUCION INYECTABLE;50 FRASCOS AMPOLLA;ANESTESICO LOCAL;VER PROSPECTO EN VADEMECUM ANMAT
INSTITUTO BIOLOGICO CONTEMPORANEO S.A.;52313;SUCCINILCOLINA PHARMAVIAL;SUCCINILCOLINA (COMO SUCCINILCOLINA CLORURO);100 MG;INYECTABLE LIOFILIADO;25 FRASCOS AMPOLLA;RELAJANTE MUSCULAR DESPOLARIZANTE;VER PROSPECTO EN VADEMECUM ANMAT
BIOTENK S.A.;58166;TRAMADOL BIOTENK;TRAMADOL CLORHIDRATO;50 MG;COMPRIMIDO;30 COMPPRIMIDOS;ANALGESICO DE TIPO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
BIOTENK S.A.;58166;TRAMADOL BIOTENK;TRAMADOL CLORHIDRATO;50 MG;COMPRIMIDO;20 COMPPRIMIDOS;ANALGESICO DE TIPO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
BIOTENK S.A.;58166;TRAMADOL BIOTENK;TRAMADOL CLORHIDRATO;50 MG;COMPRIMIDO;500 COMPPRIMIDOS;ANALGESICO DE TIPO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59357;COVIFAB;INMUNOGLOBULINAS EQUINAS FRAGMENTOS F ANTI SARS COV-2;30 MG / ML;SOLUCION INYECTABLE;5 ML X 12;TRATAMIENTO DE PACIENTES ADULTOS CON ENFERMEDAD DE CURSO MODERADO A SEVERO CAUSADA POR EL AGENTE VIRAL SARS-CoV-2;SINTESIS TECNICA PARA PROFESIONALES
LABORATORIO ELEA PHOENIX S.A.;59357;COVIFAB;INMUNOGLOBULINAS EQUINAS FRAGMENTOS F ANTI SARS COV-2;30 MG / ML;SOLUCION INYECTABLE;5 ML X 25;TRATAMIENTO DE PACIENTES ADULTOS CON ENFERMEDAD DE CURSO MODERADO A SEVERO CAUSADA POR EL AGENTE VIRAL SARS-CoV-2;SINTESIS TECNICA PARA PROFESIONALES
LABORATORIO ELEA PHOENIX S.A.;59357;COVIFAB;INMUNOGLOBULINAS EQUINAS FRAGMENTOS F ANTI SARS COV-2;30 MG / ML;SOLUCION INYECTABLE;5 ML X 6;TRATAMIENTO DE PACIENTES ADULTOS CON ENFERMEDAD DE CURSO MODERADO A SEVERO CAUSADA POR EL AGENTE VIRAL SARS-CoV-2;SINTESIS TECNICA PARA PROFESIONALES
LABORATORIOS BERNABO SOCIEDAD ANONIMA;57606;ROCIAMIN 550;RIFAXIMINA;550 MG;COMPRIMIDOS RECUBIERTOS;10 COMPRIMIDOS RECUBIERTOS;ANTIINFECCIOSO INTESTINAL, ANTIBIOTICO NO SISTEMICO DE AMPLIO ESPECTRO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS BERNABO SOCIEDAD ANONIMA;57606;ROCIAMIN 550;RIFAXIMINA;550 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIINFECCIOSO INTESTINAL, ANTIBIOTICO NO SISTEMICO DE AMPLIO ESPECTRO;VER PROSPECTO EN VADEMECUM ANMAT
PFIZER SRL;42749;ZOLOFT;SERTRALINA;50 MG;TABLETAS;60 TABLETAS;ANTIDEPRESIVO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS IMA SAIC;58770;TYGARONA®;ABIRATERONA ACETATO;250 MG;COMPRIMIDOS;120 COMPRIMIDOS;INHIBIDOR DE LA BIOSÍNTESIS DE ANDRÓGENOS ;VER PROSPECTO EN VADEMECUM ANMAT
PHARMADORF S. A.;50378;EDICTUM;CLONAZEPAM;2 MG;COMPRIMIDOS;60 COMPRIMIDOS BIRRANURADOS;ANSIOLITICO ANTICONVULSIVANTE;VER PROSPECTO EN VADEMECUM ANMAT
PHARMADORF S. A.;50378;EDICTUM;CLONAZEPAM;0,5 MG;COMPRIMIDOS;60 COMPRIMIDOS BIRRANURADOS;ANSIOLITICO ANTICONVULSIVANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S.A.I.C.;58588;REMEXAL;RIVAROXABAN;10 MG;COMPRIMIDOS RECUBIERTOS;10 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO CON BIODISPONIBILIDAD ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S.A.I.C.;58588;REMEXAL;RIVAROXABAN;15 MG ;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO CON BIODISPONIBILIDAD ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S.A.I.C.;58588;REMEXAL;RIVAROXABAN;15 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO CON BIODISPONIBILIDAD ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S.A.I.C.;58588;REMEXAL;RIVAROXABAN;20 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO CON BIODISPONIBILIDAD ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S.A.I.C.;58588;REMEXAL;RIVAROXABAN;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO CON BIODISPONIBILIDAD ORAL;VER PROSPECTO EN VADEMECUM ANMAT
PFIZER SRL;58633;BOSULIF;BOSUTINIB;400 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO ;VER PROSPECTO EN VADEMECUM ANMAT
GADOR S.A.;59202;ATUREN 500;DIOSMINA - HESPERIDINA;450 MG - 50 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;VASCULOPROTECTOR;VER PROSPECTO EN VADEMECUM ANMAT
GADOR S.A.;59202;ATUREN 1000;DIOSMINA - HESPERIDINA;900 MG – 100 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;VASCULOPROTECTOR;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;43924;PREDNICORT;BETA-METILPREDNISONA ACETATO;4 MG;COMPRIMIDOS;1000 COMPRIMIDOS;CORTICOSTEROIDE DE ACCION SISTEMICA;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;43924;PREDNICORT;BETA-METILPREDNISONA ACETATO;8 MG;COMPRIMIDOS;1000 COMPRIMIDOS;CORTICOSTEROIDE DE ACCION SISTEMICA;VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA S.A.;58974;DROTAQ HP;TADALAFILO;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;INDICADO EN PACIENTES ADULTOS CON HIPERTENSIÓN ARTERIAL PULMONAR  PARA MEJORAR LA CAPACIDAD DE EJERCICIO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS RICHET S.A.;57953 ;LEVETIRACETAM RICHET;LEVETIRACETAM;100 MG/ML;INYECTABLE PARA PERFUSION;50 FCOS AMPOLLA X 5 ML;ANTICONVULSIVANTE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX SA;32464;DELTISONA B;MEPREDNISONA;8 MG;COMPRIMIDOS;20 COMPRIMIDOS;CORTICOSTEROIDE DE ACCIÓN SISTÉMICA;VER PROSPECTO EN VADEMECUM ANMAT
NOVARTIS ARGENTINA S.A;59270;MAYZENT;SIPONIMOD;0,25 MG;COMPRIMIDOS RECUBIERTOS;12 COMPRIMIDOS RECUBIERTOS;INMUNOSUPRESOR SELECTIVO;SINTESIS TECNICA PARA PROFESIONALES
NOVARTIS ARGENTINA S.A;59270;MAYZENT;SIPONIMOD;0,25 MG;COMPRIMIDOS RECUBIERTOS;120 COMPRIMIDOS RECUBIERTOS;INMUNOSUPRESOR SELECTIVO;SINTESIS TECNICA PARA PROFESIONALES
NOVARTIS ARGENTINA S.A;59270;MAYZENT;SIPONIMOD;2 MG;COMPRIMIDOS RECUBIERTOS;28 COMPRIMIDOS RECUBIERTOS;INMUNOSUPRESOR SELECTIVO;SINTESIS TECNICA PARA PROFESIONALES
BALIARDA S.A.;58891;DROTAQ 5;TADALAFILO;5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA FOSFODIESTERASA 5 (FDE5);VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA S.A.;58891;DROTAQ 20;TADALAFILO;20 MG;COMPRIMIDOS RECUBIERTOS;1 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA FOSFODIESTERASA 5 (FDE5);VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA S.A.;58891;DROTAQ 20;TADALAFILO;20 MG;COMPRIMIDOS RECUBIERTOS;2 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA FOSFODIESTERASA 5 (FDE5);VER PROSPECTO EN VADEMECUM ANMAT
BALIARDA S.A.;58891;DROTAQ 20;TADALAFILO;20 MG;COMPRIMIDOS RECUBIERTOS;4 COMPRIMIDOS RECUBIERTOS;INHIBIDOR DE LA FOSFODIESTERASA 5 (FDE5);VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;54845;TOSEDRIN HELIX;EXTRACTO DE HOJAS DESECADAS DE HEDERA HELIX;0,7 g / 100 ml;JARABE;1 FRASCO X 100 ML;EXPECTORANTE Y/O MUCOLITICO;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;55777;PRESIPRIL;ENALAPRIL MALEATO;10 MG;COMPRIMIDOS;1000 COMPRIMIDOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;58228;SINDEPRES;ESCITALOPRAM;10 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIDEPRESIVO INHIBIDOR SELECTIVO DE LA RECAPTACION DE SEROTONINA;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;58228;SINDEPRES;ESCITALOPRAM;10 MG;COMPRIMIDOS RECUBIERTOS;1000 COMPRIMIDOS RECUBIERTOS;ANTIDEPRESIVO INHIBIDOR SELECTIVO DE LA RECAPTACION DE SEROTONINA;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;58228;SINDEPRES;ESCITALOPRAM;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIDEPRESIVO INHIBIDOR SELECTIVO DE LA RECAPTACION DE SEROTONINA;VER PROSPECTO EN VADEMECUM ANMAT
LAFEDAR S.A;58228;SINDEPRES;ESCITALOPRAM;20 MG;COMPRIMIDOS RECUBIERTOS;1000 COMPRIMIDOS RECUBIERTOS;ANTIDEPRESIVO INHIBIDOR SELECTIVO DE LA RECAPTACION DE SEROTONINA;VER PROSPECTO EN VADEMECUM ANMAT
CRAVERI S.A.I.C.;56991;TONVAL;DOXILAMINA SUCCINATO + PIRIDOXINA CLORHIDRATO ;10 MG - 10 MG;CAPSULA CON MICROGRANULOS GASTRORRESISTENTES;50 CAPSULAS;ANTIEMETICO Y ANTINAUSEOSO;VER PROSPECTO EN VADEMECUM ANMAT
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
