JULIO 2020;;;;;;;;;;;
LABORATORIO;CERT.;NOMBRE COMERCIAL;NOMBRE GENERICO;CC.;FORMA FARMACEUTICA;UNIDADES;INDICACION/ ACCION TERAPEUTICA;OBSERVACIONES;;;
GADOR SA;59174;ARKUS;CABOZANTINIB;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO INHIBIDOR DIRECTO DE LA PROTEIN QUINASA;VER PROSPECTO EN VNM ANMAT;;;
GADOR SA;59174;ARKUS;CABOZANTINIB;40 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO INHIBIDOR DIRECTO DE LA PROTEIN QUINASA;VER PROSPECTO EN VNM ANMAT;;;
GADOR SA;59174;ARKUS;CABOZANTINIB;60 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO INHIBIDOR DIRECTO DE LA PROTEIN QUINASA;VER PROSPECTO EN VNM ANMAT;;;
BIOSINTEX SA;45568;CIAPAR;CIPROFLOXACINA CLORHIDRATO;500 MG;COMPRIMIDOS RECUBIERTOS;10 COMP. REC.;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;59068;PAZOPONE;PAZOPANIB;200 MG;COMPRIMIDOS RECUB IERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;59068;PAZOPONE;PAZOPANIB;200 MG;COMPRIMIDOS RECUB IERTOS;60 COMP. REC.;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;59068;PAZOPONE;PAZOPANIB;400 MG;COMPRIMIDOS RECUB IERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;59068;PAZOPONE;PAZOPANIB;400 MG;COMPRIMIDOS RECUB IERTOS;60 COMPRIMIDOS RECUBIERTOS;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;5 MG;COMPRIMIDOS RECUBIERTOS;20 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;5 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;5 MG;COMPRIMIDOS RECUBIERTOS;500 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;5 MG;COMPRIMIDOS RECUBIERTOS;1000 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;10 MG;COMPRIMIDOS RECUBIERTOS;20 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;10 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;56650;AMLODISANE;AMLODIPINO;10 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58589;ATENOLOL ECZANE;ATENOLOL ;100 MG;COMPRIMIDOS;28 COMPRIMIDOS RECUBIERTOS;BLOQUEANTE ·-ADRENêRGICO CARDIOSELECTIVO, DE ACCI‡N ANTIHIPERTENSIVA, ANTIARR÷TMICA Y CARDIOPROTECTORA;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58589;ATENOLOL ECZANE;ATENOLOL ;100 MG;COMPRIMIDOS;56  COMPRIMIDOS RECUBIERTOS;BLOQUEANTE ·-ADRENêRGICO CARDIOSELECTIVO, DE ACCI‡N ANTIHIPERTENSIVA, ANTIARR÷TMICA Y CARDIOPROTECTORA;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58589;ATENOLOL ECZANE;ATENOLOL ;100 MG;COMPRIMIDOS;490  COMPRIMIDOS RECUBIERTOS;BLOQUEANTE ·-ADRENêRGICO CARDIOSELECTIVO, DE ACCI‡N ANTIHIPERTENSIVA, ANTIARR÷TMICA Y CARDIOPROTECTORA;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58589;ATENOLOL ECZANE;ATENOLOL ;100 MG;COMPRIMIDOS;980  COMPRIMIDOS RECUBIERTOS;BLOQUEANTE ·-ADRENêRGICO CARDIOSELECTIVO, DE ACCI‡N ANTIHIPERTENSIVA, ANTIARR÷TMICA Y CARDIOPROTECTORA;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;2,5 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;2,5 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;2,5 MG;COMPRIMIDOS RECUBIERTOS;120 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;2,5 MG;COMPRIMIDOS RECUBIERTOS;600 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;2,5 MG;COMPRIMIDOS RECUBIERTOS;1200 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;10 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;10 MG;COMPRIMIDOS RECUBIERTOS;60 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;10 MG;COMPRIMIDOS RECUBIERTOS;120 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
LABORATORIO ECZANE PHARMA S A;58215;PROBLOCK;BISOPROLOL FUMARATO;10 MG;COMPRIMIDOS RECUBIERTOS;600 COMPRIMIDOS RECUBIERTOS;BETABLOQUEANTE ·-1 SELECTIVO;VER PROSPECTO EN VNM ANMAT;;;
