JUNIO 2021;;;;;;;;
LABORATORIO TITULAR;N° CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTA  CION;ACCION TERAPEUTICA/ INDICACIONES ;OBSERVACIONES
LABORATORIOS CASASCO S A I C;46975;IMECOT AP;METFORMINA CLORHIDRATO ;500 MG;COMPRIMIDOS;30 COMPRIMIDOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIOS CASASCO S A I C;46975;IMECOT AP;METFORMINA CLORHIDRATO ;500 MG;COMPRIMIDOS;60 COMPRIMIDOS;AGENTE HIPOGLUCEMIANTE ORAL;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59037;BROCABE;IBRUTINIB;140 MG;CAPSULA DURA;90 CAPSULAS DURAS; ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59037;BROCABE;IBRUTINIB;140 MG;CAPSULA DURA;120 CAPSULAS DURAS; ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;36820 ;ORGESTRIOL;ESTRIOL;1 MG/G;CREMA VAGINAL;1 TUBO X 15 G + 1 APLICADOR;ESTROGENOTERAPIA;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59342;RIVACRIST;RIVAROXABAN;10 MG;COMPRIMIDOS RECUBIERTOS;15 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICO INHIBIDOR DIRECTO DEL FACOTR Xa;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59342;RIVACRIST;RIVAROXABAN;15 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICO INHIBIDOR DIRECTO DEL FACOTR Xa;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;59342;RIVACRIST;RIVAROXABAN;20 MG;COMPRIMIDOS RECUBIERTOS;30 COMPRIMIDOS RECUBIERTOS;AGENTE ANTITROMBOTICO INHIBIDOR DIRECTO DEL FACOTR Xa;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;31733;CONTRATHION;PRALIDOXIMA;200 MG;INYECTABLE LIOFILIZADO;1 FRASCO AMPOLLA + 1 FRASCO CON DISOLVENTE;ANTIDOTO ESPECIFICO EN LAS INTOXICACIONES POR INSECTICIDAS ORGANOFOSFORADOS;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 500 MCG / 10 ML ;SOLUCIÓN INYECTABLE; 1 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ELEA PHOENIX S.A.;53100;FENTANILO DOSA;FENTANILO CITRATO; 500 MCG / 10 ML ;SOLUCIÓN INYECTABLE;5 AMPOLLAS X 10 ML;ANESTESICO OPIOIDE;VER PROSPECTO EN VADEMECUM ANMAT
