MAYO 2020;;;;;;;;;;
LABORATORIO;CERTIF.;NOMBRE COMERCIAL;NOMBRE GENERICO;CONC.;FORMA FARMACEUTICA;UNIDADES;INDICACION/ ACCION TERAPEUTICA;OBSERVACIONES;;
RIGECIN LABS S.A.;39079;SOLUCION MOLAR DE BICARBONATO DE SODIO INYECTABLE RIGECIN;BICARBONATO DE SODIO;8,4 G;SOLUCION INYECTABLE;48 BOLSAS X 100 ML UH;ELECTROLITOTERAPIA ALCALINIZANTE;VER PROSPECTO EN VNM ANMAT;;
ASPEN ARGENTINA S.A.;58802;SOBUNIR;AMBRISENTAN;5 MG;COMPRIMIDOS RECUB IERTOS;30 COMP. RECUB.;TRATAMIENTO DE PACIENTES CON HIPERTENSI‡N ARTERIAL PULMONAR (HAP) CLASIFICADOS COMO CLASE FUNCIONAL II Y III DE LA ORGANIZACI‡N MUNDIAL DE LA SALUD (OMS), INCLUYENDO SU USO EN TRATAMIENTO DE COMBINACI‡N;VER PROSPECTO EN VNM ANMAT;;
ASPEN ARGENTINA S.A.;58802;SOBUNIR;AMBRISENTAN;10 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;TRATAMIENTO DE PACIENTES CON HIPERTENSI‡N ARTERIAL PULMONAR (HAP) CLASIFICADOS COMO CLASE FUNCIONAL II Y III DE LA ORGANIZACI‡N MUNDIAL DE LA SALUD (OMS), INCLUYENDO SU USO EN TRATAMIENTO DE COMBINACI‡N;VER PROSPECTO EN VNM ANMAT;;
CELNOVA ARGENTINA SA;58958;OLANZANOVA;OLANZAPINA;10 MG;COMPRIMIDOS RECUBIERTOS;28 COMP. RECUB.;ANTIPSICOTICO;VER PROSPECTO EN VNM ANMAT;;
PANALAB S A ARGENTINA;57708;FLUTICASE;FLUTICASONA PROPINATO -AZELASTINA CLORHIDRATO ;50 MCG - 137 MCG ;SPRAY NASAL;120 DOSIS;TRATAR LOS S÷NTOMAS DE RINITIS ALêRGICA ESTACIONAL EN PERSONAS MAYORES DE 12 A•OS;VER PROSPECTO EN VNM ANMAT;;
LABORATORIOS DUNCAN SA;49205;FLUMAZENIL;FLUMAZENILO;0,5 MG /    5 ML;SOLUCION INYECTABLE;AMPOLLA  5 ML;ANTAGONISTA DE LAS BENZODIAZEPINAS;VER PROSPECTO EN VNM ANMAT;;
LABORATORIOS MONSERRAT Y ECLAIR S.A.;57920;ALGICLER FLEX;DICLOFENAC POTASICO ? PRIDINOL MESILATO;52.5 MG ?  4 MG;COMPRIMIDOS RECUBIERTOS;15 COMP. RECUB.;ANALGESICO ANTIINFLAMATORIO MIORRELAJANTE;VER PROSPECTO EN VNM ANMAT;;
LABORATORIOS MONSERRAT Y ECLAIR S.A.;55240;VITARFIL 50 MG ;SILDENAFIL (COMO CITRATO);50 MG;COMPRIMIDOS RECUBIERTOS;10 COMP. RECUB.;TRATAMIENTO DE LA DISFUNCION ERECTIL;VER PROSPECTO EN VNM ANMAT;;
LABORATORIO RONTAG S.A.;50903;AXOKINE;HIDROXICLOROQUINA SULFATO;200 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;SE UTILIZA EN PACIENTES QUE PADECEN LUPUS ERITEMATOSO (CRONICO DISCOIDEO Y SISTEMICO) Y ARTRITIS REUMATOIDEA AGUDA O CRONICA Y QUE NO HAN RESPONDIDO A FARMACOS CON MENOS POTENCIAL PARA PRODUCIR EFECTOS COLATERALES;VER PROSPECTO EN VNM ANMAT;;
ASTRAZENECA S.A.;59053;BEVESPI AEROSPHERE;GLICOPIRRONIO/ FORMOTEROL FUMARATO DIHIDRATO;8.3 ? 5.8 MCG/DOSIS;AEROSOL;120 DOSIS;BRONCODILATADOR;VER PROSPECTO EN VNM ANMAT;;
BIOPROFARMA BAGO SA;58673;URODIF DUO;TAMSULOSINA CLORHIDRATO - DUTASTERIDA;0,4 MG ? 0,5 MG;CAPSULA DE LIBERACION MODIFICADA;30 CAPSULAS ;TRATAMIENTO DE LOS S÷NTOMAS MODERADOS A GRAVES DE LA HIPERPLASIA BENIGNA DE PR‡STATA (HBP). REDUCCI‡N DEL RIESGO DE RETENCI‡N AGUDA DE ORINA (RAO) Y DE CIRUG÷A EN PACIENTES CON S÷NTOMAS DE HBP MODERADOS A GRAVES.;VER PROSPECTO EN VNM ANMAT;;
LABORATORIO ELEA PHOENIX S.A.;57015;COROSAN D;VALSARTAN - HIDROCLOROTIAZIDA;80 MG - 12,5 MG;COMPRIMIDOS RECUBIERTOS;30 COMP. RECUB.;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT;;
TUTEUR S A C I F I A;57806;MISOFAGAN 267;PIRFENIDONA;267 MG;CAPSULAS DURAS;270 CAPSULAS DURAS;INDICADO EN ADULTOS PARA EL TRATAMIENTO DE LA FIBROSIS PULMONAR IDIOPµTICA (FPI) LEVE A MODERADA;VER PROSPECTO EN VNM ANMAT;;
TUTEUR S A C I F I A;58985;EDARACUT;EDARAVONA;30 MG/20 ML;SOLUCION INYECTABLE;10 AMPOLLAS X 20 ML;INDICADO PARA MEJORAR LOS S÷NTOMAS NEUROL‡GICOS Y TRASTORNOS MOTORES SECUNDARIOS A UN ACCIDENTE CEREBROVASCULAR ISQUêMICO (ACVI) ;SINTESIS TECNICA PARA PROFESIONALES;;
