ABRIL 2022;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA/ INDICACIONES;OBSERVACIONES
SOUBEIRAN CHOBET S.R.L.;34774;PLATSUL-A;SULFADIAZINA DE PLATA - VITAMINA A - LIDOCAINA;1 G/100 G - 248000 UI/100 G - 0.666 G / 100 G;CREMA;1 POMO por 100 G;ANTIBACTERIANO BACTERICIDA BACTERIOSTµTICO CICATRIZANTE ANESTêSICO LOCAL;VER PROSPECTO EN VADEMECUM ANMAT
CELNOVA ARGENTINA S.A.;52756;APOKINON;APOMORFINA CLORHIDRATO;5 MG / ML;SOLUCION PARA PERFUSION;10 AMPOLLAS POR 10 ML;ANTIPARKISONIANO DOPAMINERGICO;VER PROSPECTO EN VADEMECUM ANMAT
CRAVERI S A I C;59522;TRYLORI;TETRACICLINA CLORHIDRATO - METRONIDAZOL - SUBCITRATO DE BISMUTO POTASICO;125 MG - 125 MG - 140 MG;CµPSULA;120 UNIDADES;INDICADO PARA LA ERRADICACION DE HELICOBACTER PYLORI Y LA PREVENCION DE RECIDIVA DE ULCERAS PEPTICAS EN PACIENTES CON ULCERAS ACTIVAS O ANTECENDENTES DE ULCERAS ASOCIADAS A H. PYLORI;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ECZANE PHARMA      S A;59510;APARZO;LORATADINA;10 MG;COMPRIMIDO;10 UNIDADES;ANTIHISTAMINICO ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
LABORATORIO ECZANE PHARMA      S A;59510;APARZO;LORATADINA;10 MG;COMPRIMIDO;20 UNIDADES;ANTIHISTAMINICO ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;45191;RANITIDINA LARJAN;RANITIDINA CLORHIDRATO;50 MG / 5 ml;INYECTABLE;100 AMPOLLA por 5 ML (UH);INHIBIDOR DE LA SECRECION ACIDA GASTRICA;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;41052;DIFENHIDRAMINA LARJAN;DIFENHIDRAMINA CLORHIDRATO;10 MG / 1 ml;INYECTABLE;100 AMPOLLA por 1 ML (UH);ANTIHISTAMINICO ANTIALERGICO;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;39180;GENTAMICINA LARJAN;GENTAMICINA (COMO SULFATO);400 MG / 10 ML;SOLUCI‡N INYECTABLE;100 FRASCO AMPOLLA por 10 ML (UH);ANTIMICROBIANO;VER PROSPECTO EN VADEMECUM ANMAT
VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA;52974;HEPARINA VEINFAR;HEPARINA SODICA;5000 UI / 1 ML;SOLUCI‡N INYECTABLE;100 FRASCO AMPOLLA por 5 ML (UH);ANTICOAGULANTE;VER PROSPECTO EN VADEMECUM ANMAT
TAKEDA ARGENTINA S.A.;58472;MYVITLA;IXAZOMIB;2,3 MG (3,29 MG);CµPSULA DURA;3 UNIDADES;ANTINEOPLASICO;VER PROSPECTO EN VADEMECUM ANMAT
