FEBRERO 2023;;;;;;;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA/INDICACIONES;OBSERVACIONES;;;;;;
SIEGFRIED S.A.;59695;PIXABAN;APIXABANˇ;5 MG;COMPRIMIDO RECUBIERTO;60 UNIDADES;AGENTE ANTITROMBOTICO, INHIBIDOR DIRECTO DE FACTOR Xa;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS IMA S A I C;58826;LENALIM;LENALIDOMIDA;5 MG;CAPSULA DURA;21 UNIDADES;AGENTE ANTITROMBOTICO, INHIBIDOR DIRECTO DE FACTOR Xa;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS IMA S A I C;58826;LENALIM;LENALIDOMIDA;10 MG;CAPSULA DURA;22 UNIDADES;INMUNOMODULADOR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS IMA S A I C;58826;LENALIM;LENALIDOMIDA;15 MG;CAPSULA DURA;23 UNIDADES;INMUNOMODULADOR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS IMA S A I C;58826;LENALIM;LENALIDOMIDA;25 MG;CAPSULA DURA;24 UNIDADES;INMUNOMODULADOR;VER PROSPECTO EN VMN ANMAT;;;;;;
PANALAB S A ARGENTINA;51836;TIPURIC;TACROLIMUS (COMO TACROLIMUS MONOHIDRATO);0,03 G% (0,0307 G%);UNGöENTO;1 POMO POR 15 G;AGENTE INMUNOSUPRESOR SELECTIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
PANALAB S A ARGENTINA;51836;TIPURIC;TACROLIMUS (COMO TACROLIMUS MONOHIDRATO);0,1 G% (0,107 G%);UNGöENTO;1 POMO POR 15 G;AGENTE INMUNOSUPRESOR SELECTIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
PANALAB S A ARGENTINA;51836;TIPURIC;TACROLIMUS (COMO TACROLIMUS MONOHIDRATO);0,1 G% (0,107 G%);UNGöENTO;1 POMO POR 30 G;AGENTE INMUNOSUPRESOR SELECTIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
MICROSULES ARGENTINA S.A. DE S.C.I.I.A.;59435;DRACAREN;SORAFENIB;200 MG;COMPRIMIDO RECUBIERTO;112 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;54058;WELLBUTRIN XL;BUPROPION;150 MG;COMPRIMIDO DE LIBERACION EXTENDIDA;1 FRASCO por 30 unidades;ANTIDEPRESIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;54058;WELLBUTRIN XL;BUPROPION;300 MG;COMPRIMIDO DE LIBERACION EXTENDIDA;1 FRASCO por 30 unidades;ANTIDEPRESIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS CASASCO S.A.I.C.;59705;HIPOLIPOL EZ;"ROSUVASTATINA (COMO ROSUVASTATINA CµLCICA); EZETIMIBA";"ROSUVASTATINA (COMO ROSUVASTATINA CµLCICA)10 MG; EZETIMIBA 10 MG";COMPRIMIDOˇ;ENVASES CONTENIENDO 30ˇ COMPRIMIDOS;HIPOLIPEMIANTE;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS CASASCO S.A.I.C.;59705;HIPOLIPOL EZ;"ROSUVASTATINA (COMO ROSUVASTATINA CµLCICA); EZETIMIBA";"ROSUVASTATINA (COMO ROSUVASTATINA CµLCICA)20 MG; EZETIMIBA 10 MG";COMPRIMIDOˇ;ENVASES CONTENIENDO 30ˇ COMPRIMIDOS;HIPOLIPEMIANTE;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK Biopharma Argentina S.A.;43553;FLIXOTIDE;PROPIONATO DE FLUTICASONA;50 MCG;AEROSOL;1 ENVASE por 120 DOSIS;GLUCOCORTICOIDE, AGENTE CONTRA PADECIMIENTOS OBSTRUCTIVOS DE V÷AS RESPIRATORIAS;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK Biopharma Argentina S.A.;43553;FLIXOTIDE;PROPIONATO DE FLUTICASONA;125 MCG;AEROSOL;1 ENVASE por 60 DOSIS;IDEM ANTERIOR;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK Biopharma Argentina S.A.;43553;FLIXOTIDE;PROPIONATO DE FLUTICASONA;125 MCG;AEROSOL;1 ENVASE por 120 DOSIS;IDEM ANTERIOR;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK Biopharma Argentina S.A.;43553;FLIXOTIDE;PROPIONATO DE FLUTICASONA;250 MCG;AEROSOL;1 ENVASE por 60 DOSIS;IDEM ANTERIOR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIO VANNIER S.A.;38958;TRAMAL;TRAMADOL CLORHIDRATO;50 MG;CAPSULA;30 UNIDADES;ANALGESICO OPIOIDE;VER PROSPECTO EN VMN ANMAT;;;;;;
BIOPAS ARGENTINA S.A.;55333;CUROSURF 240;FRACCI‡N FOSFOLIPIDICA DE PULMON PORCINOˇ;80 MG / 1 ML;SUSPENSI‡N INTRATRAQUEAL;1 FRASCO AMPOLLA POR 1,5 ML;SURFACTANTE PULMONAR, CONSTITUIDO DE FOSFOLIPIDOS NATURALES;VER PROSPECTO EN VMN ANMAT;;;;;;
BIOPAS ARGENTINA S.A.;55333;CUROSURF 240;FRACCI‡N FOSFOLIPIDICA DE PULMON PORCINOˇ;80 MG / 1 ML;SUSPENSI‡N INTRATRAQUEAL;1 FRASCO AMPOLLA POR 3 ML;SURFACTANTE PULMONAR, CONSTITUIDO DE FOSFOLIPIDOS NATURALES;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;38284;RENITEC;ENALAPRILˇ MALEATO;5 mg;COMPRIMIDOˇ;ENVASE POR 60 COMPRIMIDOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;38284;RENITEC;ENALAPRILˇ MALEATO;10 mg;COMPRIMIDOˇ;ENVASE POR 30 COMPRIMIDOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;38284;RENITEC;ENALAPRILˇ MALEATO;10 mg;COMPRIMIDOˇ;ENVASE POR 60 COMPRIMIDOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;38284;RENITEC;ENALAPRILˇ MALEATO;20 mg;COMPRIMIDOˇ;ENVASE POR 30 COMPRIMIDOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;38284;RENITEC;ENALAPRILˇ MALEATO;20 mg;COMPRIMIDOˇ;ENVASE POR 60 COMPRIMIDOS;ANTIHIPERTENSIVO;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;51685;VYTORIN;EZETIMIBE/ SIMVASTATINA;10/10 MG;COMPRIMIDOˇ;ENVASE POR 30 COMPRIMIDOS;INDICADO PARA DISMINUIR EL COLESTEROL TOTAL, LDL Y TRIGLICERIDOS;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;51685;VYTORIN;EZETIMIBE/ SIMVASTATINA;10/20 MG;COMPRIMIDOˇ;ENVASE POR 30 COMPRIMIDOS;IDEM ANTERIOR;VER PROSPECTO EN VMN ANMAT;;;;;;
ORGANONˇ AGENTINA S.R.L.;51685;VYTORIN;EZETIMIBE/ SIMVASTATINA;10/40 MG;COMPRIMIDOˇ;ENVASE POR 30 COMPRIMIDOS;IDEM ANTERIOR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS POEN S.A.U.;59732;XEGREX;TIMOLOL (COMO MALEATO), DORZOLAMIDA  (COMO CLORHIDRATO), BRIMONIDINA TARTRATO;5,0 MG / 1 ML, 20 MG / 1 ML, 2 MG / 1 ML;SOLUCI‡N OFTµLMICA;1 FRASCO GOTERO POR 5 MLˇ;ANTIGLAUCOMATOSO;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;33535;VENTOLIN;SALBUTAMOL;5 MG / ML;SOLUCION PARA NEBULIZAR;1 FRASCO GOTERO POR 20 ML;AGENTE INDICADO CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS V÷AS RESPIRATORIAS;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS SEQIRUS S.A.;59439;FLUCELVAX QUAD;VACUNA ANTI-INFLUENZA TETRAVALENTE INACTIVADA (SUBUNIDADES) DESARROLLADA EN CULTIVO CELULAR (CEPAS 2023);15 MCG DE HEMAGLUTININA POR DOSIS ˇ(0,5 ML) POR CADA CEPA;SUSPENSION INYECTABLE;1 JERINGA PRELLENADA MONODOSIS POR 0.5 ML , CON AGUJA INCORPORADA.;VACUNA ANTIINFLUENZA TETRAVALENTE E INACTIVADA;VER PROSPECTO EN VMN ANMAT;;;;;;
MSD ARGENTINA SRL;55205;NOXAFIL;POSACONAZOL;40 MG/1 ML;SUSPENSI‡N ORAL;1 FRASCO POR 105 ML;AGENTE ANTIFUNGICO;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;44859;VALTREX;VALACICLOVIR;500 MG;COMPRIMIDO RECUBIERTO;10 UNIDADES;ANTIVIROSICO INDICADO PARA TRATAR INFECCIONES DE VIRUS HERPES;VER PROSPECTO EN VMN ANMAT;;;;;;
GSK BIOPHARMA ARGENTINA S.A.;44859;VALTREX;VALACICLOVIR;1000 MG;COMPRIMIDO RECUBIERTO;21 UNIDADES;ANTIVIROSICO INDICADO PARA TRATAR INFECCIONES DE VIRUS HERPES;VER PROSPECTO EN VMN ANMAT;;;;;;
GADOR S.A.;56610;DIVALPREX ER 250;DIVALPROATO DE SODIO;269.05 MG (EQUIVALENTE A 250 MG DE ACIDO VALPROICO);COMPRIMIDO DE LIBERACION EXTENDIDA;50 UNIDADES;ANTICONVULSIVANTE;VER PROSPECTO EN VMN ANMAT;;;;;;
GADOR S.A.;56610;DIVALPREX ER 500;DIVALPROATO DE SODIO;538.1 MG (EQUIVALENTE A 500 MG DE ACIDO VALPROICO);COMPRIMIDO DE LIBERACION EXTENDIDA;50 UNIDADES;ANTICONVULSIVANTE;VER PROSPECTO EN VMN ANMAT;;;;;;
ABBOTT LABORATORIES ARGENTINA S.A.;48481;INFLUVAC;VACUNA ANTI-INFLUENZA, ANT÷GENOS DE SUPERFICIE INACTIVADOS TIPO A Y B (CEPAS 2023);15 UG DE HEMAGLUTININA POR DOSIS ˇ(0,5 ML) POR CADA CEPAˇ;SUSPENSION INYECTABLE; 1 JERINGA PRELLENADA  DE 0,5 MLˇ;VACUNA ANTIINFLUENZA;VER PROSPECTO EN VMN ANMAT;;;;;;
ALCON LABORATORIOS ARGENTINA S.A.;34127;MIRUS;NAFAZOLINA CLORHIDRATO + FENIRAMINA MALEATO;0,025 % + 0,3%;SOLUCI‡N OFTµLMICA;1 FRASCO GOTERO POR 15 ML;DESCONGESTIVO OCULAR;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS POEN SAU;59554;GOTA PC PLUS;PROPILENGLICOL / GLICERINA;1% / 0,3%;SOLUCI‡N OFTµLMICA;1 FRASCO GOTERO POR ˇ10 MLˇ;LUBRICANTE, HUMECTANTE OCULAR;VER PROSPECTO EN VMN ANMAT;;;;;;
TUTEUR S A C I F I A;59620;TIRKANIB;NILOTINIB;150 MG;CAPSULA DURA;120 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VMN ANMAT;;;;;;
LABORATORIOS SEQIRUS S.A.;59029;AFLURIA QUAD;VACUNA TETRAVALENTE ANTIGRIPAL INACTIVADA - (VIRUS FRACCIONADO) (CEPAS 2023);15 UG DE HEMAGLUTININA POR DOSIS ˇ(0,5 ML) POR CADA CEPAˇ;SUSPENSI‡N INYECTABLE POR V÷A IM O SUBCUTµNEA PROFUNDA;1 JERINGA PRELLENADA POR 0.5 MLˇ;VACUNA TETRAVALENTE ANTIGRIPAL INACTIVADA -CEPAS 2023;VER PROSPECTO EN VMN ANMAT;;;;;;
