MARZO 2022;;;;;;;;
LABORATORIO TITULAR; CERTIF.;NOMBRE COMERCIAL;NOMBRE GENERICO;cc;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA/ INDICACIONES;OBSERVACIONES
LAFEDAR S.A.;41599;GENTAMICIN;GENTAMICINA;0.3%;GOTAS OFTALMICAS;1 ENVASE por 5 ML;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;5 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;INDICADA PARA HIPERLIPIDEMIA Y DISLIPIDEMIA MIXTA, PACIENTES PEDIATRICOS DE 10 A 17 A•OS DE EDAD CON HIPERCOLESTEROLEMIA FAMILIAR HETEROCIGOTA, HIPERTRIGLICERIDEMIA, DISBETALIPOPROTEINEMIA PRIMARIA, HIPERCOLESTEROLEMIA FAMILIAR HOMOCIGOTA, RETRASO DE LA PROGRESION DE LA ATEROSCLEROSIS Y PREVENCION DE EVENTOS CARDIOVASCULARES.;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;5 MG;COMPRIMIDOS RECUBIERTOS;60 UNIDADES;IDEM ANTERIOR;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;10 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;IDEM ANTERIOR;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;10 MG;COMPRIMIDOS RECUBIERTOS;60 UNIDADES;IDEM ANTERIOR;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;20 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;IDEM ANTERIOR;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;20 MG;COMPRIMIDOS RECUBIERTOS;60 UNIDADES;IDEM ANTERIOR;VER PROSPECTO EN VNM ANMAT
LABORATORIOS BAGO S.A.;51203;ROSUVAST;ROSUVASTATINA;40 MG;COMPRIMIDOS RECUBIERTOS;30 UNIDADES;IDEM ANTERIOR;VER PROSPECTO EN VNM ANMAT
DROGUERIA APONOR S.A.;59294;PROPOFOL BAXTER;PROPOFOL;10 MG / ML;EMULSION INYECTABLE;1 FRASCO AMPOLLA por 50 ML;ANESTESICO GENERAL;VER PROSPECTO EN VNM ANMAT
DROGUERIA APONOR S.A.;59294;PROPOFOL BAXTER;PROPOFOL;10 MG / ML;EMULSION INYECTABLE;5 FRASCO AMPOLLA por 20 ML;ANESTESICO GENERAL;VER PROSPECTO EN VNM ANMAT
EVEREX ARGENTINA S.A.;59318;IBRUTINEX;IBRUTINIB;140 MG;CµPSULAS DURAS;X 90 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
EVEREX ARGENTINA S.A.;59318;IBRUTINEX;IBRUTINIB;140 MG;CµPSULAS DURAS;X 120 UNIDADES;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
INSTITUTO BIOLOGICO CONTEMPORANEO S.A.;59339;VORICONAZOL PHARMAVIAL;VORICONAZOL;200 MG;POLVO LIOFILIZADO PARA INYECTABLE;1 FRASCO AMPOLLA UH;ANTIMICOTICO DE USO SISTEMICO;VER PROSPECTO EN VNM ANMAT
BOEHRINGER INGELHEIM S.A.;47855;MICARDIS;TELMISARTAN;40 MG;COMPRIMIDOS;X 28 UNIDADES;ANTIHIPERTENSIVO;VER PROSPECTO EN VNM ANMAT
BIOTOSCANA FARMA S.A.;49668;BUDENOFALK;BUDESONIDE;3 MG;CµPSULAS CON MICROGRµNULOS GASTRORRESISTENTES;X 100 UNIDADES;ANTIINFLAMATORIO INTESTINAL;VER PROSPECTO EN VNM ANMAT
FINADIET S.A.COM IND FIN E INMOB;56939;TANSILOPROST DUO;TAMSULOSINA CLORHIDRATO - DUTASTERIDA;0,4 MG - 0,5 MG;CAPSULA DE LIBERACI‡N MODIFICADA;60 UNIDADES;TRATAMIENTO DE LOS S÷NTOMAS DE MODERADOS A GRAVES DE LA HIPERPLASIA BENIGNA DE PR‡STATA (HBP). REDUCCI‡N DEL RIESGO DE RETENCI‡N AGUDA DE ORINA (RAO) Y DE CIRUG÷A EN PACIENTES CON S÷NTOMAS DE HBP DE MODERADOS A GRAVES;VER PROSPECTO EN VNM ANMAT
BIOPROFARMA BAG‡ S.A.;59445;VINORGEN ORAL;VINORELBINA;20 MG;CAPSULA BLANDA;1 UNIDAD;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
BIOPROFARMA BAG‡ S.A.;59445;VINORGEN ORAL;VINORELBINA;30 MG;CAPSULA BLANDA;1 UNIDAD;AGENTE ANTINEOPLASICO;VER PROSPECTO EN VNM ANMAT
ASPEN ARGENTINA S.A.;36820;ORGESTRIOL;ESTRIOL;0,5 MG;OVULOS;X 10 UNIDADES;ESTROGENOTERAPIA;VER PROSPECTO EN VNM ANMAT
ASTRAZENECA S.A.;59363;FASENRA;BENRALIZUMAB;30 MG / 1 ML;SOLUCI‡N INYECTABLE;1 LAPICERA PRELLENADA (AUTOINYECTOR);INDICADO COMO TRATAMIENTO ADICIONAL DE MANTENIMIENTO PARA EL ASMA SEVERA CON FENOTIPO EOSINOFILICO EN PACIENTES ADULTOS;VER PROSPECTO EN VNM ANMAT
LABORATORIO CELTYC S.A;59468;CEFEPIME CELTYC;CEFEPIMA CLORHIDRATO;2 G;POLVO PARA INYECTABLE;25 FRASCO AMPOLLA por 2 G;ANTIMICROBIANO;VER PROSPECTO EN VNM ANMAT
GOBBI NOVAG S.A.;38659;ALGEDOL;MORFINA CLORHIDRATO;10 MG/ML;SOLUCION INYECTABLE;50 AMP X 1 ML;NARCOTICO CON ACCION ANALGESICA Y SEDANTE;VER PROSPECTO EN VNM ANMAT
SAVANT PHARM S.A.;45441;MOTIONAL;MUCILADO DE SEMILLAS DE PSYLLIUM;49.116 G / 100 G;POLVO;1 FRASCO por 400 G;SUPLEMENTO DE FIBRAS DE LA DIETA, INCREMENTA EL VOLUMEN Y DISMINUYE LA CONSISTENCIA DE LA HECES.;VER PROSPECTO EN VNM ANMAT
FRANCELAB S.A.;58214;APRENTICE 20;ROSUVASTATINA;20 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;ESTA INDICADO COMO TERAPIA ADYUVANTE A LA DIETA PARA REDUCIR EL CATOTAL, LDLAC, APOB, NO HDLAC Y TRIGLICêRIDOS ELEVADOS Y PARA INCREMENTAR EL HDLAC EN PACIENTES ADULTOS CON HIPERLIPIDEMIA PRIMARIA O DISLIPEDEMIA MIXTA. PACIENTES PEDIµTRICOS DE 10 A 17 A•OS DE EDAD CON HIPERCOLESTEROLEMIA FAMILIAR HETEROCIG‡TICA (HEFH);VER PROSPECTO EN VNM ANMAT
