MAYO 2022;;;;;;;;;
LABORATORIO TITULAR;N¯ CERTIFICADO;NOMBRE COMERCIAL;NOMBRE GENERICO;CONCENTRACION;FORMA FARMACEUTICA;PRESENTACION;ACCION TERAPEUTICA / INDICACIONES;OBSERVACIONES;
INVESTI FARMA S A;58982;AIREAL PLUS;MONTELUKAST (como MONTELUKAST S‡DICO)-LEVOCETIRIZINA     DICLORHIDRATO;10 MG - 5 MG;COMPRIMIDO RECUBIERTO; 30 UNIDADES;INDICADO PARA EL ALIVIO SINTOMµTICO DE LA RINITIS ALêRGICA ESTACIONAL Y RINITIS ALêRGICA PERENNE, EN PACIENTES ADULTOS Y ADOLESCENTES A PARTIR DE LOS 15 A•OS DE EDAD.;VER PROSPECTO EN VADEMECUM ANMAT;
ABBVIE SA;59139;RINVOQ;UPADACITINIBˇ;30 MG;COMPRIMIDO RECUBIERTO DE LIBERACI‡N PROLONGADA; 30 UNIDADES;INHIBIDOR DE LAS JANUS QUINASAS;VER PROSPECTO EN VADEMECUM ANMAT;
SIDUS SOCIEDAD ANONIMA;58561;DUOMAX VL;IBUPROFENO + PARACETAMOL;200 MG + 500 MG;COMPRIMIDO;10 UNIDADES;ANALGESICO ANTIFEBRIL ANTIINFLAMATORIO;VER PROSPECTO EN VADEMECUM ANMAT;
IVAX ARGENTINA SOCIEDAD ANONIMA;59405;VALGARD;VALGANCICLOVIR;450 MG;COMPRIMIDO RECUBIERTO;1 FRASCO POR 60 UNIDADES;TRATAMIENTO DE INFECCIONES DE LA RETINA DEL OJO PRODUCIDA POR EL CITOMEGALOVIRUS EN PACIENTES ADULTOS CON S÷NDROME DE INMUNODEFICIENCIA ADQUIRIDA (SIDA). LA INFECCI‡N DE CMV EN LA RETINA DEL OJO, PUEDE CAUSAR PROBLEMAS EN LA VISI‡N E INCLUSO CEGUERA. PREVENCI‡N DE INFECCIONES POR CITOMEGALOVIRUS (CMV) EN ADULTOS Y NI•OS QUE NO HAN SIDO INFECTADOS POR CMV, PERO QUE HAN RECIBIDO UN TRASPLANTE DE ‡RGANO S‡LIDO DE UN DONANTE QUE ESTABA INFECTADO POR CMV.;VER PROSPECTO EN VADEMECUM ANMAT;
LABORATORIO PABLO CASSARA S R L;59389;OTEX L;HIDROCORTISONA-LIDOCAINA CLORHIDRATO- CIPROFLOXACINA ;1 G/100 ML - 5 G / 100 ML- 0,2 G /100 ML ;SUSPENSION OTICA;1 FCO GOTERO X 5 ML;ANTIINFLAMATORIO ANESTESICO LOCAL ANTIBIOTICO;VER PROSPECTO EN VADEMECUM ANMAT;
EVEREX ARGENTINA SA;59386;RIVAREX;RIVAROXABAN;10 MG;COMPRIMIDO RECUBIERTO; 30 UNIDADES;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO, CON BIODISPONIBILIDAD ORAL.;VER PROSPECTO EN VADEMECUM ANMAT;
EVEREX ARGENTINA SA;59386;RIVAREX;RIVAROXABAN;20 MG;COMPRIMIDO RECUBIERTO; 30 UNIDADES;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO, CON BIODISPONIBILIDAD ORAL.;VER PROSPECTO EN VADEMECUM ANMAT;
EVEREX ARGENTINA SA;59386;RIVAREX;RIVAROXABAN;30 MG;COMPRIMIDO RECUBIERTO; 30 UNIDADES;INHIBIDOR DIRECTO DEL FACTOR XA, ALTAMENTE SELECTIVO, CON BIODISPONIBILIDAD ORAL.;VER PROSPECTO EN VADEMECUM ANMAT;
OXAPHARMA S.A.;58290;VALAPITEL;BETAMETASONA 17 VALERATO;0,122 G%;CREMA DERMICA;20 POMOS X 15 G;CORTICOSTEROIDE TOPICO;VER PROSPECTO EN VADEMECUM ANMAT;
SAVANT PHARM S.A.;54446;JESAN;LOSARTAN POTASICO;50 MG;COMPRIMIDO RECUBIERTO;30 UNIDADES;TRATAMIENTO DE LA HIPERTENSI‡N ARTERIAL. TRATAMIENTO DE LA INSUCIENCIA CARD÷ACA, HABITUALMENTE EN COMBINACI‡N CON DIURêTICOS Y DIGITµLICOS. EN ESTOS PACIENTES LOSARTµN HA DEMOSTRADO UN EFECTO BENECIOSO SOBRE LA SOBREVIDA.;VER PROSPECTO EN VADEMECUM ANMAT;
